FID,source_id,country,name,least_depth,max_depth,depth_info,depth_prec,object_length,loc_prec,site_area,sink_context,sink_yr,dating,period,statutory,obj_desc,ship_char,obj_type,est_tonnag,place_orig,place_dest,artefacts,coast_dist,source_inf,reference,website1,website2,the_geom
heritageshipwrecks.4725,8917,Croatia,Cape Borova,,,n.a.,n.a.,,,,n.a.,,C4th-3rd BC,Hellenistic,n.a.,Finds from this site are known from illegal exports confiscated by customs officers!,n.a.,n.a.,,n.a.,n.a.,Amphorae,3496.70418672,The Oxford Roman Economy Project,"M. Jurisic in D. Davison, V. Gaffney and E. Martin (eds.) BAR 2006, 175-192",n.a.,n.a.,POINT (42.69347 16.8585200000001)
heritageshipwrecks.4736,8969,Greece,Vlychos (Hydra),,,n.a.,n.a.,,,,n.a.,,C6th-7th AD,Early Byzantine,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,Amphorae,179.91950786,The Oxford Roman Economy Project,n.a.,http://www.ienae.gr/e107EN/page.php?,n.a.,POINT (37.34599 23.44757)
heritageshipwrecks.4737,8968,Greece,Korakia (Porto heli),,,n.a.,n.a.,,,,n.a.,,C6th-7th AD,Early Byzantine,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,Amphorae,172.8920602,The Oxford Roman Economy Project,n.a.,http://www.ienae.gr/e107EN/page.php?,n.a.,POINT (37.3126600000001 23.1269)
heritageshipwrecks.4738,8885,Italy,Grado (2000),,,n.a.,n.a.,,,,n.a.,,C 3rd BC,Roman Republic,n.a.,"Found near the other Grado wreck, the wreck was carrying Sicilian and central Italian amphorae",n.a.,n.a.,,n.a.,n.a.,Amphorae,831.55517422,The Oxford Roman Economy Project,n.a.,http://www.archeosub.it/news2000/news0007.ht,n.a.,POINT (45.71666 13.33333)
heritageshipwrecks.4,FR 0000118463 00001,France,n.a.,40.4,,n.a.,Least depth known,15,5,,n.a.,,n.a.,n.a.,n.a.,"Landing barge 15 m long, 4 meters wide, 4 meters high, laid flat on the bottom, in very good condition. High point: rear superstructure. E / W orientation",Landing barge,Landing barge,,n.a.,n.a.,n.a.,652.53430555,SHOM,n.a.,n.a.,n.a.,POINT (-13.3463867319999 -176.160950805)
heritageshipwrecks.4739,8878,Italy,Caprara,,,n.a.,n.a.,,,,n.a.,,C1st BC-1st AD,Late Republican/Early Imperial,n.a.,"A Roman wreck from the island of Caprara, Tremiti Islands. Although there are few amphorae, they are close to the piles of tiles suggesting they were part of the cargo",n.a.,n.a.,,n.a.,n.a.,Amphorae,197.79998825,The Oxford Roman Economy Project,site 128 area,http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html,n.a.,POINT (42.11267 15.4962100000001)
heritageshipwrecks.4744,8893,France,Les Riches Dunes 6,,,n.a.,n.a.,,,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,2764.16796848,The Oxford Roman Economy Project,"Bilan Scientifique 2003, 41",n.a.,n.a.,POINT (43.3305300000001 3.61656000000005)
heritageshipwrecks.4745,8892,France,Les Riches Dunes 2,,,n.a.,n.a.,,,,n.a.,,first half C 1st AD,Roman Imperial,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,Amphorae,2764.16796848,The Oxford Roman Economy Project,"Bilan Scientifique 2003, 40",n.a.,n.a.,POINT (43.3305300000001 3.61656000000005)
heritageshipwrecks.4711,8385,France,Saint Honorat,18,20,n.a.,n.a.,,,,n.a.,,C 2nd AD,Roman,n.a.,Cargo composed entirely of Dr  20. Cargo looted,n.a.,n.a.,,n.a.,n.a.,Amphorae,627.16997695,The Oxford Roman Economy Project,"Pollino 1976, 1983: 45-7, pls. 31-33",n.a.,n.a.,POINT (43.5000000000001 7.05000000000007)
heritageshipwrecks.4746,8895,France,Port Vendres 11,,,n.a.,n.a.,,,,n.a.,,late C 3rd AD,Roman Imperial,n.a.,n.a.,n.a.,n.a.,,Tarraconensis,n.a.,Amphorae,384.14985443,The Oxford Roman Economy Project,"S. Got Castellvi and M. Amandry, Bilan Scientifique 2005, 33-34",n.a.,n.a.,POINT (42.52417 3.11565000000007)
heritageshipwrecks.4748,8897,France,Les Moines 3,,,n.a.,n.a.,,,,n.a.,,mid C1st-C3rd AD,Roman Imperial,n.a.,Scattered remains of a cargo of Gauloise 4 amphorae,n.a.,n.a.,,n.a.,n.a.,Amphorae,2909.81827754,The Oxford Roman Economy Project,"Bilan Scientifique 1999, 77",n.a.,n.a.,POINT (41.46284 8.91909000000004)
heritageshipwrecks.4752,8903,Spain,Mazarron 1,,,n.a.,n.a.,,,,n.a.,,second half C 7th BC,Phoenician,n.a.,"A small C 7th BC ship discovered in 1994 during the building of a marina on the Playa de la Isla and excavated in 1999. The ship measured only 5.5 x 1.3m but 7,500 artefacts have been recovered, the majority of which may have been the crew's possessions.",n.a.,n.a.,,n.a.,n.a.,Amphorae,1728.97699677,The Oxford Roman Economy Project,"I. Negueruela, J. Pinedo et al, IJNA 24 (1995), 189-197 and 30 (2001); Master Seafarers: the Phoenicians and the Greeks (Periplus, 2004), 41-45.",http://inadiscover.com/projects/all/southern_europe_mediterranean_aegean/mazarron_timber_study_spain/introduction/,http://www2.rgzm.de/navis/ships/Ship058/Ship058Engl.ht,POINT (37.53993 -1.27577999999994)
heritageshipwrecks.4760,8824,Italy,Torre Sinfono,,,n.a.,n.a.,,,,n.a.,,C1st BC,Late Republican,n.a.,"At least two, maybe three layers of overlying amphorae still in their original position. Some looting has taken place",n.a.,n.a.,,n.a.,n.a.,Amphorae,2156.2988982,The Oxford Roman Economy Project,"site 139, area",http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html,n.a.,POINT (39.90945 18.04092)
heritageshipwrecks.4761,8823,Italy,Santa Caterina di Nardo 2,,,n.a.,n.a.,,,,n.a.,,n.a.,Hellenistic,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,Amphorae,1667.12083897,The Oxford Roman Economy Project,"site 161, area",http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html,n.a.,POINT (40.13633 17.9516600000001)
heritageshipwrecks.4886,9026,Turkey,Çamalti Burnu 2,,,n.a.,n.a.,,,,n.a.,,C11th AD,Byzantine,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,318.42035269,The Oxford Roman Economy Project,n.a.,http://www.nautarch.org/sites.ht,n.a.,POINT (40.6429900000001 27.52349)
heritageshipwrecks.4776,8805,Italy,Marina Grande di Bacoli,,,n.a.,n.a.,,,,n.a.,,2nd half C1st BC- end C1st AD,Late Republican/Early Imperial,n.a.,A probable shipwreck as there are several intact amphorae in what looks like their original position,n.a.,n.a.,,n.a.,n.a.,Amphorae,191.65615712,The Oxford Roman Economy Project,"archeomar site 53, area 2",http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html,n.a.,POINT (40.80325 14.08361)
heritageshipwrecks.4778,8807,Italy,Bocca Piccola 2,,,n.a.,n.a.,,,,n.a.,,C1st-2nd AD,Roman Imperial,n.a.,"A long, oval mound of amphorae measuring approximately 12m by 2.5m with a height of about 80-100cm",n.a.,n.a.,,n.a.,n.a.,Amphorae,1473.36302308,The Oxford Roman Economy Project,"site 189, area 25",http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html,http://www.archeomar.it/index.php?option=com_content&task=view&id=21&Itemid=35#relitt,POINT (40.56359 14.2799900000001)
heritageshipwrecks.4780,8809,Italy,Li Galli - Vetara,,,n.a.,n.a.,,,,n.a.,,C1st BC-1st AD,Roman Republic/Imperial,n.a.,Heavily looted complete cargo of amphorae of which only two remain since its discovery 40 years ago,n.a.,n.a.,,n.a.,n.a.,"Amphorae, Marble, Columns",307.25738639,The Oxford Roman Economy Project,"site 260, area 2",http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html,n.a.,POINT (40.5805100000001 14.3642800000001)
heritageshipwrecks.4781,8808,Italy,Golfo di Pozzuoli,,,n.a.,n.a.,,,,n.a.,,C3rd-5th AD,Late Imperial,n.a.,The site of a probable shipwreck with a cargo of various African amphorae,n.a.,n.a.,,n.a.,n.a.,Amphorae,654.34839602,The Oxford Roman Economy Project,"site 211, area 2",http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html,n.a.,POINT (40.8146800000001 14.11983)
heritageshipwrecks.4782,8811,Italy,Capo Palinuro - Punta della Quaglia,,,n.a.,n.a.,,,,n.a.,,n.a.,Roman,n.a.,"The wide spread of the material and the size of the anchor stock suggest that this was a large vessel. However the anchor shank only provides a general chronology, as it can be dated over a wide period",n.a.,n.a.,,n.a.,n.a.,n.a.,2283.71528751,The Oxford Roman Economy Project,"site 217, area 2",http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html,n.a.,POINT (40.0264900000001 15.24078)
heritageshipwrecks.4805,134,Croatia,Jakljan Island,,,n.a.,n.a.,,,,n.a.,,Roman,Roman,n.a.,n.a.,n.a.,n.a.,,n.a.,Northern Italy,"Marble, Sarcophagi",960.0761153,The Oxford Roman Economy Project,"M. Jurišić, Ancient Shipwrecks of the Adriatic (2000), no.21.",n.a.,n.a.,POINT (42.7333300000001 17.8000000000001)
heritageshipwrecks.4816,179,Croatia,?avlena,,,n.a.,n.a.,,,,n.a.,,Roman,Roman,n.a.,n.a.,n.a.,n.a.,,n.a.,Northern Italy,"Marble, Columns",367.28665409,The Oxford Roman Economy Project,"D. Vrsalović, Istraživanja i Zaštita Podmorških Arheoloskih Spomenika u S.R. Hrvatskoj (1974), 53 and 240; Parker (1992), 288.",n.a.,n.a.,POINT (45.1000000000001 14.45)
heritageshipwrecks.4820,7528,Italy,Preveto,,,n.a.,n.a.,,,,n.a.,,C10th AD,Arab,n.a.,The first Arab wreck found in Sicilian waters,n.a.,n.a.,,n.a.,n.a.,Amphorae,140.89756132,The Oxford Roman Economy Project,n.a.,n.a.,n.a.,POINT (37.9144000000001 12.2864000000001)
heritageshipwrecks.4847,7387,Greece,Ithaki 3,,,n.a.,n.a.,,,,n.a.,,C1st BC,Roman Republic,n.a.,A cargo of roof tiles,n.a.,n.a.,,n.a.,n.a.,n.a.,7690.74820359,The Oxford Roman Economy Project,"www.norwinst.gr/Feltarbeid/Ithaki.htm (2000); K. Delaporta et al. IJNA 35 (2006), 79-87.",n.a.,n.a.,POINT (37.98909 20.7696500000001)
heritageshipwrecks.4823,7531,Spain,Bera,,,n.a.,n.a.,,,,n.a.,,C 1st AD,Roman Imperial,n.a.,A substantial cargo that covered an area of at least 12 x 7m,n.a.,n.a.,,n.a.,n.a.,Amphorae,4162.6959646,The Oxford Roman Economy Project,"Berges, 1970; Corsi-Sciallano and Liou, 1985:153; Liou, 1987b: 284",n.a.,n.a.,POINT (41.11666 1.45000000000005)
heritageshipwrecks.26,FR 0000223382 05115,France,n.a.,7.1,,n.a.,Least depth known,50,1,,n.a.,,n.a.,n.a.,n.a.,Wreck in metal and wood,n.a.,n.a.,,n.a.,n.a.,n.a.,10.74467333,SHOM,n.a.,n.a.,n.a.,POINT (-17.52998765 -149.579617898)
heritageshipwrecks.4968,8790,France,Cavalaire 1,12,12,n.a.,n.a.,,,,n.a.,,second half C15th,Medieval,n.a.,An interesting ship in that its construction seems to have originated from the Bay of Biscay/Atlantic style of ship building. It was carrying weapons,n.a.,n.a.,,n.a.,n.a.,n.a.,107.78113938,The Oxford Roman Economy Project,"M. Dalhaye, Bilan Scientifique 1994, 50;  Bilan Scientifique 1995, 54-56; Bilan Scientifique 1996, 100-101",n.a.,n.a.,POINT (43.17418 6.53823000000006)
heritageshipwrecks.5601,W07731,Ireland,n.a.,,,n.a.,Unknown depth,,,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,24184.6029162,National Monuments Service (Ireland),UKHO Wreck Data 1996.,n.a.,n.a.,POINT (55.24028 -8.72082999999998)
heritageshipwrecks.4825,7577,Italy,Cala Rossano,,,n.a.,n.a.,,,,n.a.,,C 1st AD,Roman Imperial,n.a.,A partially looted site excavated in 1990,n.a.,n.a.,,Baetica,n.a.,Amphorae,79.82279106,The Oxford Roman Economy Project,"C. Beltrame, Vita di Bordo in Eta Romana, 2002, p. 459; F. Arata,  Archeologia Subacquea. Studi, ricerche e documenti 1 (1993), 131-151.",n.a.,n.a.,POINT (40.8039000000001 13.43181)
heritageshipwrecks.4828,7611,France,Cap Gros A,,,n.a.,n.a.,,,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,249.26680274,The Oxford Roman Economy Project,n.a.,n.a.,n.a.,POINT (43.5515100000001 7.14737000000002)
heritageshipwrecks.4829,7597,France,Cap Benat C,,,n.a.,n.a.,,,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,181.56780417,The Oxford Roman Economy Project,n.a.,n.a.,n.a.,POINT (43.09063 6.37254000000007)
heritageshipwrecks.4830,7613,France,Cap Gros C,,,n.a.,n.a.,,,,n.a.,,second half C1st BC,Roman Republic/Imperial,n.a.,"A small cargo of amphorae from the Adriatic, unusual to find this far west",n.a.,n.a.,,n.a.,n.a.,Amphorae,249.26680274,The Oxford Roman Economy Project,"B. Gauthier, Bilan Scientifique 1992, 55; Bilan Scientifique 1995, 63",n.a.,n.a.,POINT (43.5515100000001 7.14737000000002)
heritageshipwrecks.4831,7612,France,Cap Gros B,,,n.a.,n.a.,,,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,249.26680274,The Oxford Roman Economy Project,n.a.,n.a.,n.a.,POINT (43.5515100000001 7.14737000000002)
heritageshipwrecks.4832,7706,France,Cavallo A,,,n.a.,n.a.,,,,n.a.,,mid C1st AD,Roman Imperial,n.a.,n.a.,n.a.,n.a.,,"Llobregat, Spain",n.a.,Amphorae,101.30446416,The Oxford Roman Economy Project,"C. Carreras Montfort and P. Berni Millet in Rivet and Sciallano (eds), Vivre, Produire et Echanger: Reflets Mediterraneans. Melanges offerts a Bernard Liou (2002), 359-369",n.a.,n.a.,POINT (41.3601 9.26181000000003)
heritageshipwrecks.4841,7349,Croatia,Supetric,,,n.a.,n.a.,,,,n.a.,,C1st- 2nd AD,Roman Imperial,n.a.,A probable shipwreck of tegulae and imbrices,n.a.,n.a.,,n.a.,n.a.,n.a.,946.68995822,The Oxford Roman Economy Project,"M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 69",n.a.,n.a.,POINT (42.4333300000001 18.4333300000001)
heritageshipwrecks.4712,8497,France,Sud-Perduto A,72,72,n.a.,n.a.,,,,n.a.,,end C1st BC- beginning 1st AD,Roman Imperial,n.a.,"Originally seen as a mound of amphorae 2m high in 1980, the site is now spread out  measuring 25 x 15m",n.a.,n.a.,,Baetica,n.a.,Amphorae,2646.59717434,The Oxford Roman Economy Project,"Bilan Scientifique  2005, 94",n.a.,n.a.,POINT (41.3683600000001 9.30584000000005)
heritageshipwrecks.4714,8524,France,Tiboulen de Maire 1,51,51,n.a.,n.a.,,,,n.a.,,mid 2nd AD,Roman Imperial,n.a.,A cargo of Spanish and Gauloise amphorae from a ship measuring about 30m. NB Date change since Parker,n.a.,n.a.,,Baetica - Tarraconensis - Gaul,Rome?,Amphorae,712.22221832,The Oxford Roman Economy Project,"S. Ximenes and M. Moerman, Bilan Scientifique 1999, 48; Bilan Scientifique 2000, 62; 2001, 59; Bilan Scientifique 2002, 6; Bilan Scientifique 2003, 81; Bilan Scientifique 2004, 72; Bilan Scientifique 2005. 75.",n.a.,n.a.,POINT (43.22105 5.32699000000002)
heritageshipwrecks.4849,7436,Israel,Atlit A,,,n.a.,n.a.,,,,n.a.,,C 7th BC (?),Phoenician,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,980.68635297,The Oxford Roman Economy Project,"Radan 1981; Raban, 1985: 33-7",n.a.,n.a.,POINT (32.7 34.91666)
heritageshipwrecks.4853,7755,Greece,Agios Petros Byzantine,,,n.a.,n.a.,,,,n.a.,,mid C11th AD,Middle Byzantine,n.a.,"Partly excavated in the 1970s, this wreck was re-examined in 2001 during a Greek-Norwegian deep water archaeology survey",n.a.,n.a.,,n.a.,n.a.,Amphorae,1722.9582755,The Oxford Roman Economy Project,"K. Delaporta et al, IJNA 35 (2006), 79-87",n.a.,n.a.,POINT (39.2874 24.04357)
heritageshipwrecks.5043,W00112,Ireland,n.a.,,,n.a.,Unknown depth,,,,n.a.,,n.a.,n.a.,n.a.,UKHO wreck number 007600069. Stranded wreck,n.a.,n.a.,,n.a.,n.a.,n.a.,894.33305151,National Monuments Service (Ireland),"Brady 2008, 64; UKHO Wreck Data 1996.",n.a.,n.a.,POINT (54.0222200000001 -6.08666999999997)
heritageshipwrecks.4873,8976,Montenegro,Boka Kotorska 2,,,n.a.,n.a.,,,,n.a.,,C2nd-1st BC,Roman Republic,n.a.,"This Roman ship was found over 2km off shore , covering an area 20 x 17m, with many of its amphorae in their original stacked position",n.a.,n.a.,,n.a.,n.a.,Amphorae,317.77911301,The Oxford Roman Economy Project,"J. Royal, INA Annual 2008 26-28;",http://www.rpmnautical.org/bokakotorska2.ht,n.a.,POINT (42.4152700000001 18.70903)
heritageshipwrecks.4874,8971,Greece,Metochi,,,n.a.,n.a.,,,,n.a.,,C6th-7th AD,Early Byzantine,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,Amphorae,181.6936273,The Oxford Roman Economy Project,n.a.,http://www.ienae.gr/e107EN/page.php?,n.a.,POINT (37.4072100000001 23.3964100000001)
heritageshipwrecks.4876,8983,Italy,Cala del Diavolo,,,n.a.,n.a.,,,,n.a.,,late C2nd-1st BC,Roman Republic,n.a.,"A Roman trade vessel carrying a cargo of wine in Lamboglia 2 amphorae, and black Campanian pottery",n.a.,n.a.,,n.a.,n.a.,Amphorae,973.21552369,The Oxford Roman Economy Project,n.a.,http://www.sportesport.it/wrecksTI002.ht,n.a.,POINT (42.3061200000001 10.31066)
heritageshipwrecks.4877,8989,Greece,Polyaigos (marble),,,n.a.,n.a.,,,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,"Marble, Columns",439.27077121,The Oxford Roman Economy Project,"Dellaporta, A., Dimitriadou, Th., AD 54 (1999) [2006] B’2, p. 1031",http://chronique.efa.gr/index.php/fiches/voir/544/,n.a.,POINT (36.73528 24.54483)
heritageshipwrecks.4879,8994,Greece,Agios Andreas,,,n.a.,n.a.,,,,n.a.,,C5th-6th AD,Late Roman,n.a.,A shipwreck was discovered with a cargo of C5th-6th AD amphorae,n.a.,n.a.,,n.a.,n.a.,Amphorae,993.1349777,The Oxford Roman Economy Project,Ethnos 05/11/2007,http://chronique.efa.gr/index.php/fiches/voir/450,n.a.,POINT (38.39534 23.7242800000001)
heritageshipwrecks.4880,8990,Greece,Agios Petros classical,,,n.a.,n.a.,,,,n.a.,,mid C5th BC,Classical,n.a.,"The earliest classical shipwreck found, with a cargo of Mendean amphorae",n.a.,n.a.,,n.a.,n.a.,Amphorae,529.88056669,The Oxford Roman Economy Project,"F. Haniotis, Archaeologikon Deltion 49 (1994), 862-64; K. Delaporta et al, IJNA 35 (2006), 79-87",n.a.,n.a.,POINT (39.2916500000001 24.07653)
heritageshipwrecks.8472,W18572,Ireland,n.a.,,,n.a.,Unknown depth,,,,n.a.,,n.a.,n.a.,n.a.,One of five wooden wrecks which become exposed on the beach when sand levels are low. The wreck isorientated NNW-SSE and measures 25.4m long and 7.2m in maximum width. The bow lies to the NNW,n.a.,n.a.,,n.a.,n.a.,n.a.,98.02562436,National Monuments Service (Ireland),Bangerter 2015; National Monuments Service,n.a.,n.a.,POINT (52.1569400000001 -7.13230999999996)
heritageshipwrecks.6,FR 0000007886 00001,France,n.a.,4,,n.a.,Least depth known,4,5,,n.a.,,n.a.,n.a.,n.a.,04/30/1996: mini-barge (4m * 2m),Mini-barge,Barge,,n.a.,n.a.,n.a.,57.84053733,SHOM,n.a.,n.a.,n.a.,POINT (-13.337151686 -176.18605093)
heritageshipwrecks.4970,8734,France,Redoute Bear 1,5,10,n.a.,n.a.,,,,n.a.,,end C2nd - C1st BC,Roman Republic,n.a.,The ship was about 15m-17m long and 6m wide,n.a.,n.a.,,n.a.,n.a.,Amphorae,416.50960081,The Oxford Roman Economy Project,"Bilan Scientifique 2000, 40; Bilan Scientifique 2001, 41; Bilan Scientifique 2002, 38-39",n.a.,n.a.,POINT (42.5243600000001 3.11595000000005)
heritageshipwrecks.4882,8995,Greece,Petousi,,,n.a.,n.a.,,,,n.a.,,C2nd-3rd AD,Roman Imperial,n.a.,"A Roman shipwreck was found at this islet outside Styra. The cargo contained many 2nd−3rd Ct AD African amphorae for olive oil, of a type probably manufactured in Libya or Tunisia and generally found in the W Mediterranean (this is the first cargo in G",n.a.,n.a.,,n.a.,n.a.,Amphorae,179.97711802,The Oxford Roman Economy Project,Ethnos 5/11/200,http://chronique.efa.gr/index.php/fiches/voir/449/,n.a.,POINT (38.14937 24.16339)
